productid,name,fl_drupallongitude,fl_drupallatitude,statecode,fl_drupaltypeemptyspaceconventional,fl_drupaltypemanagedoffice,fl_drupaltypeservicedoffice,fl_drupalservicesfullyfurnished,new_region
59b23af6-5155-e911-a850-000d3a2b2be0,Potsdamer Straße 182,13.36037,52.4937111,1,False,False,True,False,Berlin
b59f244b-865f-e911-a850-000d3a2b2be0,Prenzlauer Allee 186,13.4250988,52.5419748,0,False,False,True,False,Berlin
5852df90-875f-e911-a850-000d3a2b2be0,Baseler Straße 10,8.6652828,50.1039062,0,False,False,True,False,Frankfurt
7800b8d0-8a5f-e911-a850-000d3a2b2be0,Weidenstieg 9,9.96012,53.5716959,0,False,False,True,False,Hamburg
5ef5d668-8c5f-e911-a850-000d3a2b2be0,Suhrenkamp 59,10.0149585,53.6201141,0,True,False,True,False,Hamburg
c01525f0-d16f-e911-a852-000d3a2b2be0,Gedempte Zuiderdiep 144,,,1,,,,,Groningen
e4c1e045-da6f-e911-a852-000d3a2b2be0,Toemaattragel 1,,,1,,,,,Gent
b307c55c-dc6f-e911-a852-000d3a2b2be0,Egellsstraße 21,13.2839568,52.5804764,1,False,True,False,False,Berlin
37b9f1ae-df6f-e911-a852-000d3a2b2be0,Wittestraße 30,13.2943359,52.5799904,0,False,False,True,False,Berlin
6d793251-e16f-e911-a852-000d3a2b2be0,Gartenfelder Straße 29-37,13.2492571,52.5484689,1,False,False,True,False,Berlin
df2a012e-e36f-e911-a852-000d3a2b2be0,Landsberger Straße 217-267,13.6217134,52.5072999,1,True,True,True,False,Berlin
5ba1e71b-e56f-e911-a852-000d3a2b2be0,Lademannbogen 21-23,10.0359259,53.6458203,1,True,True,True,False,Hamburg
daa8187f-e76f-e911-a852-000d3a2b2be0,Überseeallee 10,10.0032392,53.5403297,0,False,False,True,False,Hamburg
3bf51a23-e96f-e911-a852-000d3a2b2be0,Rupert-Mayer-Straße 44,,,1,,,,,München
e1c8990c-f36f-e911-a852-000d3a2b2be0,Moosacher Straße 82,11.5454852,48.1865144,0,False,False,True,False,Munich
55e3b5a3-f56f-e911-a852-000d3a2b2be0,Ruth-Hallensleben-Straße 38,6.9243341,50.9766851,1,False,True,False,False,Cologne
29968694-f76f-e911-a852-000d3a2b2be0,Frankfurter Straße 720-726,7.0413629,50.9290139,1,False,True,False,False,Cologne
056a4b43-fb6f-e911-a852-000d3a2b2be0,Wilhelm-Ruppert-Straße 38,7.090822,50.857229,1,False,True,False,False,Cologne
1cf7e9f3-fd6f-e911-a852-000d3a2b2be0,Grafenberger Allee 293,6.8203927,51.2353785,0,False,False,True,False,Düsseldorf
9ed82b56-ff6f-e911-a852-000d3a2b2be0,In der Steele 39-45,6.8668025,51.1876577,1,False,False,True,False,Düsseldorf
3a8f3421-0170-e911-a852-000d3a2b2be0,Am Trippelsberg 92,6.8372135,51.1646103,1,True,True,False,False,Düsseldorf
7101376f-0370-e911-a852-000d3a2b2be0,Schlesische Straße 38,,,1,,,,,Berlin
bf60df59-0570-e911-a852-000d3a2b2be0,Karspeldreef 14,,,1,,,,,Amsterdam Zuidoost
69ad6ac4-0e70-e911-a852-000d3a2b2be0,Weena 308-310,,,1,,,,,Rotterdam
e9e61802-8c75-e911-a852-000d3a2b2be0,10 Rue Pergolèse,2.28531,48.8758963,0,False,False,True,False,Paris
2ba14770-268c-e911-a852-000d3a2b2be0,Orlyplein 1-67,4.8374842,52.390589,0,True,False,False,False,Amsterdam
